Category,iPhone,iPad,iPod,Mac,Services,Other products,Peripherals,Software,Music
Q4/98,,,,84.39,,,7.84,7.78,
Q1/99,,,,82.35,,,8.82,8.82,
Q2/99,,,,83.06,,,8.47,8.47,
Q3/99,,,,81.21,,,9.43,9.36,
Q4/99,,,,88.13,,,5.93,5.93,
Q1/00,,,,84.94,,,7.56,7.51,
Q2/00,,,,84.66,,,7.67,7.67,
Q3/00,,,,85.78,,,7.11,7.11,
Q4/00,,,,77.06,,,11.82,11.12,
Q1/01,,,,83.86,,,7.41,8.74,
Q2/01,,,,83.05,,,8.41,8.54,
Q3/01,,,,82.9,,,8.83,8.28,
Q4/01,,,3.35,77.89,,,9.75,9.02,
Q1/02,,,1.47,80.87,,,8.76,8.9,
Q2/02,,,1.54,81.18,,,8.82,8.47,
Q3/02,,,3.67,75.81,,,9.7,10.81,
Q4/02,,,5.5,74.66,,,9.31,10.53,
Q1/03,,,2.1,74.51,,,12.54,10.85,
Q2/03,,,7.18,70.81,,,10.87,10.36,0.78
Q3/03,,,7.06,69.97,,,12.13,10.03,0.82
Q4/03,,,12.76,63.26,,,11.07,10.57,2.34
Q1/04,,,13.83,60.76,,,12.47,9.8,3.14
Q2/04,,,12.36,62.71,,,10.87,10.43,3.62
Q3/04,,,22.85,52.38,,,11.53,9.06,4.17
Q4/04,,,34.7,45.99,,,8.14,6.1,5.07
Q1/05,,,31.27,46.07,,,8.63,7.37,6.66
Q2/05,,,31.34,44.46,,,7.56,9.8,6.85
Q3/05,,,32.95,43.8,,,8.05,7.99,7.21
Q4/05,,,50.55,29.99,,,5.27,5.65,8.54
Q1/06,,,39.32,36.06,,,6.06,7.43,11.13
Q2/06,,,34.26,42.7,,,5.4,7.19,10.46
Q3/06,,,32.23,45.75,,,6.14,6.53,9.34
Q4/06,,,48.11,33.93,,,4.17,4.89,8.9
Q1/07,,,31.95,42.96,,,6.21,6.53,12.35
Q2/07,2.53,,28.22,45.53,,,5.84,6.94,10.93
Q3/07,7.4,,24.51,47.15,,,5.34,6.49,9.1
Q4/07,9.93,,38.32,34.23,,,3.75,6.02,7.75
Q1/08,10.24,,22.78,44,,,5.31,6.63,11.04
Q2/08,6.39,,22.19,48.06,,,5.9,6.63,10.83
Q3/08,38.25,,14.41,31.59,,,3.76,4.77,7.22
Q4/08,24.75,,28.38,30.01,,,3.26,5.1,8.51
Q1/09,26.72,,18.33,32.58,,,3.93,6.89,11.55
Q2/09,31.44,,15.33,34.46,,,3.49,5.44,9.84
Q3/09,37.73,,12.8,32.6,,,3.2,5.32,8.34
Q4/09,35.57,,21.62,28.37,,,2.99,4.02,7.42
Q1/10,40.34,,13.79,27.85,,,3.5,4.7,9.83
Q2/10,33.97,13.8,9.84,28.02,,,2.52,4.11,7.73
Q3/10,43.37,13.72,7.26,23.94,,,2.34,3.25,6.11
Q4/10,38.29,16.34,12.81,20.31,8.03,4.23,,,
Q1/11,48.86,10.67,6.49,20.17,9.66,4.14,,,
Q2/11,45.86,19.61,4.64,17.87,8.18,3.84,,,
Q3/11,37.51,23.21,3.9,22.19,8.86,4.33,,,
Q4/11,51.69,18.93,,14.24,6.52,8.62,,,
Q1/12,56.85,15.99,,12.95,8.09,6.13,,,
Q2/12,45.17,25.07,,14.09,9.15,6.53,,,
Q3/12,46.28,19.83,,18.4,9.72,5.77,,,
Q4/12,56.24,19.58,,10.12,6.76,7.29,,,
Q1/13,52.65,20.06,,12.49,9.44,5.37,,,
Q2/13,51.39,18.04,,13.85,11.3,5.41,,,
Q3/13,52.07,16.51,,15.01,11.37,5.05,,,
Q4/13,56.43,19.91,,11.1,7.63,4.92,,,
Q1/14,57.1,16.67,,12.09,10.02,4.12,,,
Q2/14,52.77,15.73,,14.8,11.98,4.72,,,
Q3/14,56.21,12.62,,15.73,10.94,4.5,,,
Q4/14,68.61,12.04,,9.31,6.43,3.6,,,
Q1/15,69.44,9.36,,9.68,8.61,2.91,,,
Q2/15,63.24,9.15,,12.16,10.14,5.32,,,
Q3/15,62.54,8.3,,13.36,9.88,5.92,,,
Q4/15,68.06,9.34,,8.89,7.98,5.73,,,
Q1/16,64.99,8.73,,10.1,11.85,4.33,,,
